latitude,longitude,datetime
50.820622176,-1.312856723,2018-08-29T15:13:04.563554
50.820622176,-1.312856723,2018-08-29T15:13:05.564866
50.820609371,-1.312870585,2018-08-29T15:13:06.567218
50.820609371,-1.312870585,2018-08-29T15:13:07.572512
50.820609371,-1.312870585,2018-08-29T15:13:08.576150
50.820609211,-1.312884772,2018-08-29T15:13:09.578871
50.820609211,-1.312884772,2018-08-29T15:13:10.581020
50.820602245,-1.312884447,2018-08-29T15:13:11.584292
50.820602086,-1.312898634,2018-08-29T15:13:12.588857
50.820602086,-1.312898634,2018-08-29T15:13:13.591105
50.820602086,-1.312898634,2018-08-29T15:13:14.593205
50.820595119,-1.312898308,2018-08-29T15:13:15.594820
50.82059496,-1.312912495,2018-08-29T15:13:16.596919
50.82059496,-1.312912495,2018-08-29T15:13:17.602717
50.82059496,-1.312912495,2018-08-29T15:13:18.608817
50.8205948,-1.312926682,2018-08-29T15:13:19.610503
50.820582155,-1.312926357,2018-08-29T15:13:20.613882
50.820582155,-1.312926357,2018-08-29T15:13:21.616246
50.820581995,-1.312940544,2018-08-29T15:13:22.618221
50.820581995,-1.312940544,2018-08-29T15:13:23.620714
50.820575029,-1.312940219,2018-08-29T15:13:24.625713
50.820575029,-1.312940219,2018-08-29T15:13:25.627830
50.820574869,-1.312954406,2018-08-29T15:13:26.633136
50.820574869,-1.312954406,2018-08-29T15:13:27.637689
50.82056919,-1.312954406,2018-08-29T15:13:28.639126
50.820569031,-1.312968593,2018-08-29T15:13:29.640916
50.820562064,-1.312968268,2018-08-29T15:13:30.642969
50.820562064,-1.312968268,2018-08-29T15:13:31.645098
50.820556386,-1.312968268,2018-08-29T15:13:32.647577
50.820556226,-1.312982455,2018-08-29T15:13:33.649737
50.82054926,-1.31298213,2018-08-29T15:13:34.651544
50.82054926,-1.31298213,2018-08-29T15:13:35.652372
50.8205491,-1.312996317,2018-08-29T15:13:36.655595
50.8205491,-1.312996317,2018-08-29T15:13:37.659887
50.820543421,-1.312996317,2018-08-29T15:13:38.662644
50.820543261,-1.313010504,2018-08-29T15:13:39.664141
50.820543261,-1.313010504,2018-08-29T15:13:40.665470
50.820543261,-1.313010504,2018-08-29T15:13:41.669053
50.820543102,-1.313024691,2018-08-29T15:13:42.671573
50.820536135,-1.313024365,2018-08-29T15:13:43.674835
50.820530457,-1.313024365,2018-08-29T15:13:44.676920
50.820530457,-1.313024365,2018-08-29T15:13:45.682656
50.820530297,-1.313038552,2018-08-29T15:13:46.685342
50.820530297,-1.313038552,2018-08-29T15:13:47.690934
50.820523331,-1.313038227,2018-08-29T15:13:48.692765
50.820523331,-1.313038227,2018-08-29T15:13:49.694299
50.820523331,-1.313038227,2018-08-29T15:13:50.695673
50.820516205,-1.313052089,2018-08-29T15:13:51.699599
50.820516205,-1.313052089,2018-08-29T15:13:52.701025
50.820510366,-1.313066276,2018-08-29T15:13:53.702359
50.820510366,-1.313066276,2018-08-29T15:13:54.703767
50.820510366,-1.313066276,2018-08-29T15:13:55.705574
50.820510366,-1.313066276,2018-08-29T15:13:56.707347
50.82050324,-1.313080138,2018-08-29T15:13:57.709608
50.820497561,-1.313080138,2018-08-29T15:13:58.712426
50.820497561,-1.313080138,2018-08-29T15:13:59.715515
50.820497402,-1.313094325,2018-08-29T15:14:00.717751
50.820497402,-1.313094325,2018-08-29T15:14:01.723188
50.820497242,-1.313108512,2018-08-29T15:14:02.727416
50.820484597,-1.313108187,2018-08-29T15:14:03.729168
50.820484597,-1.313108187,2018-08-29T15:14:04.734482
50.820484597,-1.313108187,2018-08-29T15:14:05.737057
50.820478758,-1.313122373,2018-08-29T15:14:06.738682
50.820478758,-1.313122373,2018-08-29T15:14:07.740827
50.820478758,-1.313122373,2018-08-29T15:14:08.742286
50.820478599,-1.31313656,2018-08-29T15:14:09.743812
50.820478599,-1.31313656,2018-08-29T15:14:10.745385
50.82047292,-1.31313656,2018-08-29T15:14:11.747690
50.820465953,-1.313136235,2018-08-29T15:14:12.750057
50.820465953,-1.313136235,2018-08-29T15:14:13.754810
50.820465794,-1.313150422,2018-08-29T15:14:14.756272
50.820465794,-1.313150422,2018-08-29T15:14:15.758648
50.820465794,-1.313150422,2018-08-29T15:14:16.761440
50.820458827,-1.313150097,2018-08-29T15:14:17.764816
50.820458827,-1.313150097,2018-08-29T15:14:18.769511
50.820458827,-1.313150097,2018-08-29T15:14:19.770897
50.820446023,-1.313163959,2018-08-29T15:14:20.773920
50.820446023,-1.313163959,2018-08-29T15:14:21.776211
50.820446023,-1.313163959,2018-08-29T15:14:22.777680
50.820446023,-1.313163959,2018-08-29T15:14:23.779686
50.820439056,-1.313163634,2018-08-29T15:14:24.781417
50.820439056,-1.313163634,2018-08-29T15:14:25.782984
50.820433377,-1.313163634,2018-08-29T15:14:26.785670
50.820433377,-1.313163634,2018-08-29T15:14:27.790507
50.820433377,-1.313163634,2018-08-29T15:14:28.793507
50.820426251,-1.313177495,2018-08-29T15:14:29.795566
50.820426251,-1.313177495,2018-08-29T15:14:30.797150
50.820426251,-1.313177495,2018-08-29T15:14:31.807188
50.820413606,-1.31317717,2018-08-29T15:14:32.808813
50.820413606,-1.31317717,2018-08-29T15:14:33.810288
50.820413606,-1.31317717,2018-08-29T15:14:34.815000
50.82040664,-1.313176845,2018-08-29T15:14:35.820755
50.82040648,-1.313191032,2018-08-29T15:14:36.822523
50.82040648,-1.313191032,2018-08-29T15:14:37.823848
50.820399514,-1.313190707,2018-08-29T15:14:38.825420
50.820393835,-1.313190707,2018-08-29T15:14:39.827573
50.820393835,-1.313190707,2018-08-29T15:14:40.832361
